profileID;respID;qID;altID;obsID;price;origin_Brazil Central Plateau;origin_Colombia Cauca;processing_Natural;processing_Washed;Specialty_Coffee_SCA Score: 80;Specialty_Coffee_SCA Score: 90;no_choice
6;3;9;1;41;30;1;0;0;1;1;0;0
7;3;9;2;41;11;0;1;0;1;1;0;0
2;3;9;3;41;30;1;0;1;0;1;0;0
0;3;9;4;41;0;0;0;0;0;0;0;1
9;3;10;1;42;11;1;0;1;0;0;1;0
6;3;10;2;42;30;1;0;0;1;1;0;0
12;3;10;3;42;30;0;1;1;0;0;1;0
0;3;10;4;42;0;0;0;0;0;0;0;1
10;3;11;1;43;30;1;0;1;0;0;1;0
14;3;11;2;43;30;1;0;0;1;0;1;0
6;3;11;3;43;30;1;0;0;1;1;0;0
0;3;11;4;43;0;0;0;0;0;0;0;1
15;3;12;1;44;11;0;1;0;1;0;1;0
5;3;12;2;44;11;1;0;0;1;1;0;0
11;3;12;3;44;11;0;1;1;0;0;1;0
0;3;12;4;44;0;0;0;0;0;0;0;1
14;3;13;1;45;30;1;0;0;1;0;1;0
13;3;13;2;45;11;1;0;0;1;0;1;0
3;3;13;3;45;11;0;1;1;0;1;0;0
0;3;13;4;45;0;0;0;0;0;0;0;1
3;3;14;1;46;11;0;1;1;0;1;0;0
8;3;14;2;46;30;0;1;0;1;1;0;0
1;3;14;3;46;11;1;0;1;0;1;0;0
0;3;14;4;46;0;0;0;0;0;0;0;1
1;3;15;1;47;11;1;0;1;0;1;0;0
15;3;15;2;47;11;0;1;0;1;0;1;0
4;3;15;3;47;30;0;1;1;0;1;0;0
0;3;15;4;47;0;0;0;0;0;0;0;1
5;3;16;1;48;11;1;0;0;1;1;0;0
11;3;16;2;48;11;0;1;1;0;0;1;0
13;3;16;3;48;11;1;0;0;1;0;1;0
0;3;16;4;48;0;0;0;0;0;0;0;1
12;4;1;1;49;30;0;1;1;0;0;1;0
9;4;1;2;49;11;1;0;1;0;0;1;0
16;4;1;3;49;30;0;1;0;1;0;1;0
0;4;1;4;49;0;0;0;0;0;0;0;1
2;4;2;1;50;30;1;0;1;0;1;0;0
1;4;2;2;50;11;1;0;1;0;1;0;0
15;4;2;3;50;11;0;1;0;1;0;1;0
0;4;2;4;50;0;0;0;0;0;0;0;1
13;4;3;1;51;11;1;0;0;1;0;1;0
10;4;3;2;51;30;1;0;1;0;0;1;0
7;4;3;3;51;11;0;1;0;1;1;0;0
0;4;3;4;51;0;0;0;0;0;0;0;1
8;4;4;1;52;30;0;1;0;1;1;0;0
4;4;4;2;52;30;0;1;1;0;1;0;0
10;4;4;3;52;30;1;0;1;0;0;1;0
0;4;4;4;52;0;0;0;0;0;0;0;1
11;4;5;1;53;11;0;1;1;0;0;1;0
12;4;5;2;53;30;0;1;1;0;0;1;0
5;4;5;3;53;11;1;0;0;1;1;0;0
0;4;5;4;53;0;0;0;0;0;0;0;1
7;4;6;1;54;11;0;1;0;1;1;0;0
16;4;6;2;54;30;0;1;0;1;0;1;0
8;4;6;3;54;30;0;1;0;1;1;0;0
0;4;6;4;54;0;0;0;0;0;0;0;1
4;4;7;1;55;30;0;1;1;0;1;0;0
3;4;7;2;55;11;0;1;1;0;1;0;0
14;4;7;3;55;30;1;0;0;1;0;1;0
0;4;7;4;55;0;0;0;0;0;0;0;1
16;4;8;1;56;30;0;1;0;1;0;1;0
2;4;8;2;56;30;1;0;1;0;1;0;0
9;4;8;3;56;11;1;0;1;0;0;1;0
0;4;8;4;56;0;0;0;0;0;0;0;1
6;4;9;1;57;30;1;0;0;1;1;0;0
7;4;9;2;57;11;0;1;0;1;1;0;0
2;4;9;3;57;30;1;0;1;0;1;0;0
0;4;9;4;57;0;0;0;0;0;0;0;1
